idx,fen,move_fen,move_qp,score,best_move1_fen,best_move1_qp,best_score1,best_move2_fen,best_move2_qp,best_score2,best_move3_fen,best_move3_qp,best_score3
53,C1R2ab2/1N7/4kan2/p3p3p/3P5/6p2/P3c3P/4C1N2/9/2BK1ABR1,b8d9,黑 ,9600,"b8c6,e7d7,c9d9","黑 ,黑 炮5平4,黑 象3平43进4",9800,"h0h8,f7e8,c9c7,e8d7,c7d7","黑 8退8,黑 ,黑 象3进23进3,黑 ,黑 3平4",9700,"a9a8,f7e8,c9c7,e8d7,c7d7","黑 1进1,黑 ,黑 象3进23进3,黑 ,黑 3平4",9700
54,C1RN1ab2/9/4kan2/p3p3p/3P5/6p2/P3c3P/4C1N2/9/2BK1ABR1,e7d7,黑 炮5平4,-9700,"e7d7,d5d6,d7d8,d6d7,d8e8,c9c8","黑 炮5平4,黑 4退1,黑 4退1,黑 4退1,黑 4平5,黑 象3进13进3",-9700,"e7e8,c9c8","黑 炮5退1,黑 象3进13进3",-9900,,,
55,C1RN1ab2/9/3k1an2/p3p3p/3P5/6p2/P3c3P/4C1N2/9/2BK1ABR1,e2d2,黑 5平4,9400,"d5d6,d7d8,d6d7,d8e8,c9c8","黑 4退1,黑 4退1,黑 4退1,黑 4平5,黑 象3进13进3",9700,"h0h8,f7e8,d5d6,d7d8,d6d7","黑 8退8,黑 ,黑 4退1,黑 4退1,黑 4退1",9700,"c9c6,d7d8,c6d6,d8e8,h0h8","黑 象3进33进3,黑 4退1,黑 3平4,黑 4平5,黑 8退8",9700
56,C1RN1ab2/9/3k1an2/p3p3p/3P5/6p2/P3c3P/3C2N2/9/2BK1ABR1,e3d3,红 兵5平6,-9500,"e3d3,d0e0,g7f5,d5d6,f5d6,h0h8,f7e8,c9c6,e8d9,c6c7","红 兵5平6,黑 马4平54进5,黑 马7进6,黑 4退1,黑 ,黑 8退8,黑 ,黑 象3进33进3,黑 ,黑 3退1",-9500,,,,,,
57,C1RN1ab2/9/3k1an2/p3p3p/3P5/6p2/P2c4P/3C2N2/9/2BK1ABR1,d0e0,黑 马4平54进5,9500,"d0e0,g7f5,d5d6,f5d6,h0h8,f7e8,c9c6,e8d9,c6c7","黑 马4平54进5,黑 马7进6,黑 4退1,黑 ,黑 8退8,黑 ,黑 象3进33进3,黑 ,黑 3退1",9500,"d2b2,g7f5,c9c7,d7d8,d9b8,f5e7,a9a8,e7c8,c7c8,d8d7","红 帅6平8,黑 马7进6,黑 象3进23进3,黑 炮4退1,黑 将,黑 ,黑 1进1,黑 ,黑 3退1,黑 4进1",9400,"d2c2,d7d8,c2b2,g7f5,c9c8,d8d7,d9b8,d7e7,c8c7,e7e8","红 帅6平7,黑 炮4退1,黑 3平2,黑 马7进6,黑 象3进13进3,黑 4进1,黑 将,黑 炮4平5,黑 3进1,黑 5退1",9300
58,C1RN1ab2/9/3k1an2/p3p3p/3P5/6p2/P2c4P/3C2N2/9/2B1KABR1,d7d8,黑 炮4退1,-9700,"g7f5,d5d6,f5d6,h0h8,f7e8,c9c6,e8d9,c6c7","黑 马7进6,黑 4退1,黑 ,黑 8退8,黑 ,黑 象3进33进3,黑 ,黑 3退1",-9600,"f7e8,c9c7,d7d8,d9b8,e8d7,a9a8","黑 ,黑 象3进23进3,黑 炮4退1,黑 ,黑 ,黑 1进1",-9700,"f9e8,c9c7,d7d8,d9b8,e8d7,a9a8","黑 士6进5,黑 象3进23进3,黑 炮4退1,黑 ,黑 ,黑 1进1",-9700
59,C1RN1ab2/3k5/5an2/p3p3p/3P5/6p2/P2c4P/3C2N2/9/2B1KABR1,d5c5,黑 4平3,9500,"h0h8,f9e8,d5d6,d3d4,d6d7","黑 8退8,黑 士6进5,黑 4退1,黑 4退1,红 炮6进1",9700,"d5d6,f7e8,h0h8,g9e7,d6d7","黑 4退1,黑 ,黑 8退8,黑 象7进5,红 炮6进1",9700,"c9c8,d8d9,c8c9,d9d8,h0h8,f9e8,d5d6,d3d4,d6d7","黑 象3进13进3,黑 4退1,黑 3退1,黑 4进1,黑 8退8,黑 士6进5,黑 4退1,黑 4退1,红 炮6进1",9500
60,C1RN1ab2/3k5/5an2/p3p3p/2P6/6p2/P2c4P/3C2N2/9/2B1KABR1,d3f3,黑 4平6,-9600,"d3e3,c5d5,e3d3,d5d6,f7e8,h0h8,d3d5,d6d7","黑 4平5,黑 3平4,红 兵5平6,黑 4退1,黑 ,黑 8退8,黑 4退2,红 炮6进1",-9600,"d3f3,c5d5,f3d3,d5d6,f7e8,h0h8,d3d5,d6d7","黑 4平6,黑 3平4,黑 6平4,黑 4退1,黑 ,黑 8退8,黑 4退2,红 炮6进1",-9600,"d3h3,c5d5,h3d3,d5d6,f7e8,h0h8,d3d5,d6d7","黑 4平8,黑 3平4,黑 8平4,黑 4退1,黑 ,黑 8退8,黑 4退2,红 炮6进1",-9600
61,C1RN1ab2/3k5/5an2/p3p3p/2P6/6p2/P4c2P/3C2N2/9/2B1KABR1,h0h8,黑 8退8,9600,"c5d5,f3d3,h0h8,f7e8,d5d6,d3d5,d6d7","黑 3平4,黑 6平4,黑 8退8,黑 ,黑 4退1,黑 4退2,黑 4退1",9600,"h0h8,f7e8,c5d5,f3d3,d5d6,d3d5,d6d7","黑 8退8,黑 ,黑 3平4,黑 6平4,黑 4退1,黑 4退2,黑 4退1",9600,"c9c8,d8d9,c5d5,f3d3,c8c9,d9d8,h0h8,f7e8,d5d6,d3d4","黑 象3进13进3,黑 4退1,黑 3平4,黑 6平4,黑 3退1,黑 4进1,黑 8退8,黑 ,黑 4退1,黑 4退1",9400
62,C1RN1ab2/3k3R1/5an2/p3p3p/2P6/6p2/P4c2P/3C2N2/9/2B1KAB2,f7e8,黑 ,-9700,"f9e8,c5d5,f3d3,d5d6,d3d5,d6d7","黑 士6进5,黑 3平4,黑 6平4,黑 4退1,黑 4退2,黑 4退1",-9700,"f7e8,c5d5,f3d3,d5d6,d3d5,d6d7","黑 ,黑 3平4,黑 6平4,黑 4退1,黑 4退2,黑 4退1",-9700,"d8d7,c9c7","黑 4进1,黑 象3进23进3",-9900
63,C1RN1ab2/3ka2R1/6n2/p3p3p/2P6/6p2/P4c2P/3C2N2/9/2B1KAB2,h8h3,黑 8进5,2246,"c5d5,f3d3,d5d6,d3d5,d6d7","黑 3平4,黑 6平4,黑 4退1,黑 4退2,黑 4退1",9700,"c9b9,d8d7,b9b7,d7d8,d9b8,f3f1,a9a8","黑 象3平23进2,黑 4进1,黑 2进2,黑 炮4退1,黑 ,黑 6进2,黑 1进1",9600,"g2f4,g7f5,c5d5,f3d3,f4d3,f5d6,d5d6,g4g3,d6e6","红 马3进4,黑 马7进6,黑 3平4,黑 6平4,黑 ,黑 ,黑 4退1,黑 7进1,黑 4平5",9500
